Timestamp (UTC_TIME)	XBH4.EXPT.GIF.001:COUNTS	XBH4.EXPT.GIF.002:COUNTS	XBH4.EXPT.GIF.003:COUNTS	XBH4.EXPT.GIF.004:COUNTS
2016-08-23 01:01:37.335	13780	11543	6172	0
2016-08-23 01:02:18.135	13458	11114	5898	0
2016-08-23 01:02:58.935	13433	11161	5985	0
2016-08-23 01:03:39.735	13042	10770	5721	0
2016-08-23 01:04:20.535	13804	11442	6053	0
2016-08-23 01:05:01.335	13273	11059	5793	0
2016-08-23 01:05:42.135	13344	11071	5934	0
2016-08-23 01:06:22.935	12751	10640	5596	0
2016-08-23 01:07:03.735	13834	11597	6139	0
2016-08-23 01:07:44.535	13217	11005	5761	0
2016-08-23 01:08:25.335	11732	9728	5259	0
2016-08-23 01:09:06.135	13098	10975	5780	0
2016-08-23 01:09:46.935	13164	10921	5724	0
2016-08-23 01:10:27.735	13200	10936	5744	0
2016-08-23 01:11:08.535	12368	10282	5339	0
2016-08-23 01:11:49.335	12955	10705	5607	0
2016-08-23 01:12:30.135	12616	10458	5473	0
2016-08-23 01:13:10.935	12714	10558	5515	0
2016-08-23 01:13:51.735	12367	10224	5330	0
2016-08-23 01:14:32.535	12543	10327	5406	0
2016-08-23 01:15:13.335	13068	10751	5617	0
2016-08-23 01:15:54.135	11865	9736	5052	0
2016-08-23 01:16:34.935	12307	10329	5414	0
2016-08-23 01:17:15.735	12708	10439	5416	0
2016-08-23 01:17:56.535	12533	10373	5449	0
2016-08-23 01:18:37.335	11588	9557	5027	0
2016-08-23 01:19:18.135	12266	10132	5326	0
2016-08-23 01:19:58.935	12564	10423	5365	0
2016-08-23 01:20:39.735	11945	9831	5076	0
2016-08-23 01:21:20.535	13210	11033	5651	0
2016-08-23 01:22:01.335	12951	10587	5591	0
2016-08-23 01:22:42.135	13133	11075	5715	0
2016-08-23 01:23:22.935	12943	10714	5548	0
2016-08-23 01:24:03.735	13128	11012	5577	0
2016-08-23 01:24:44.535	12718	10524	5435	0
2016-08-23 01:25:25.335	13100	10872	5571	0
2016-08-23 01:26:06.135	13764	11426	5868	0
2016-08-23 01:26:46.935	12410	10176	5250	0
